uniprot_id	mean_plddt	median_plddt	min_plddt	max_plddt	very_high_conf_pct	high_conf_pct	low_conf_pct	very_low_conf_pct	quality_grade	residue_count	alphafold_version
A0A075B6R2	90.7	97.44	56.56	98.81	78.6	3.9	17.5	0.0	Excellent	908	v6
A0A075B6R9	86.73	96.25	32.16	98.69	79.9	3.5	2.2	14.4	Good	921	v6
A0A075B6S0	75.7	74.94	56.72	89.06	0.0	67.7	32.3	0.0	Good	127	v6
A0A075B6S2	90.53	97.94	42.53	98.88	80.2	3.3	15.7	0.9	Excellent	923	v6
A0A075B6S4	89.99	98.06	42.91	98.88	77.0	2.9	18.3	1.8	Good	901	v6
A0A075B6S5	89.88	98.19	39.84	98.94	77.2	2.8	19.1	0.9	Good	891	v6
A0A075B6S6	90.24	97.56	42.88	98.81	79.8	3.9	15.5	0.9	Excellent	929	v6
A0A075B6S9	88.66	97.56	38.47	98.81	74.8	3.9	18.0	3.3	Good	892	v6
A0A075B6T6	93.07	96.62	63.5	98.5	78.9	19.6	1.5	0.0	Excellent	905	v6
A0A075B6T7	82.33	93.44	35.97	97.62	56.2	18.2	16.7	8.8	Good	1085	v6
A0A075B6T8	92.24	97.69	48.12	98.75	84.1	4.4	9.7	1.8	Excellent	868	v6
A0A075B6U4	89.5	96.31	45.12	98.31	77.3	5.4	14.3	2.9	Good	882	v6
A0A075B6U6	89.97	94.75	60.12	98.06	65.4	26.6	8.0	0.0	Good	898	v6
A0A075B6V2	76.96	78.31	54.25	85.12	0.0	86.8	13.2	0.0	Good	152	v6
A0A075B6V5	91.38	96.75	46.66	98.88	71.5	22.9	4.7	0.9	Excellent	891	v6
A0A075B6W5	90.86	96.62	58.69	98.25	73.6	15.8	10.6	0.0	Excellent	955	v6
A0A075B6X5	91.53	96.69	43.91	98.56	74.3	19.9	3.9	1.8	Excellent	873	v6
A0A075B6Y3	86.55	89.88	55.12	96.62	43.9	41.2	14.9	0.0	Good	148	v6
A0A075B6Y9	84.38	89.5	48.31	95.56	44.8	44.1	2.8	8.3	Good	145	v6
A0A075B700	85.47	88.31	66.06	92.12	33.3	60.9	5.8	0.0	Good	138	v6
A0A075B706	87.55	88.69	69.06	93.81	49.2	45.2	5.6	0.0	Good	124	v6
A0A075B734	82.6	95.0	29.89	98.75	68.8	9.5	3.3	18.4	Good	2682	v6
A0A075B759	96.74	97.5	69.31	98.75	98.8	0.5	0.6	0.0	Excellent	1280	v6
A0A075B767	95.22	96.75	65.38	98.69	91.2	8.1	0.6	0.0	Excellent	1280	v6
A0A075B7B6	91.04	97.38	57.59	98.81	78.9	5.4	15.7	0.0	Excellent	919	v6
A0A075B7B8	81.8	92.5	35.88	98.38	65.1	8.2	16.8	9.9	Good	906	v6
A0A075B7D0	90.98	97.0	47.97	98.75	83.5	0.7	15.0	0.9	Excellent	915	v6
A0A075B7D4	90.73	98.25	41.66	98.88	76.7	3.2	19.2	0.9	Excellent	879	v6
A0A075B7D8	90.75	97.31	48.75	98.75	82.8	1.6	14.7	0.9	Excellent	918	v6
A0A075B7E8	90.41	97.19	49.69	98.81	83.5	0.7	14.9	0.9	Excellent	905	v6
A0A075B7F0	90.77	97.5	56.25	98.81	81.8	1.7	16.5	0.0	Excellent	884	v6
A0A075B7F1	91.23	97.5	41.69	98.75	83.3	1.5	13.3	1.9	Excellent	894	v6
A0A087WSX0	88.82	96.62	48.75	98.69	75.8	6.3	15.9	2.1	Good	924	v6
A0A087WSY4	90.92	97.44	58.25	98.75	78.9	5.4	15.6	0.0	Excellent	921	v6
A0A087WSY6	89.62	97.88	45.0	98.88	77.8	4.0	16.3	1.9	Good	883	v6
A0A087WSZ0	90.42	98.06	44.66	98.94	77.6	3.3	18.2	0.9	Excellent	900	v6
A0A087WSZ9	90.87	95.5	61.44	98.56	72.6	22.9	4.5	0.0	Excellent	886	v6
A0A087WT01	91.11	97.44	47.31	98.81	79.0	7.7	11.5	1.8	Excellent	849	v6
A0A087WT02	91.93	97.5	52.06	98.81	81.3	7.1	11.7	0.0	Excellent	865	v6
A0A087WT03	91.18	96.12	49.5	98.81	78.9	10.9	9.3	0.9	Excellent	863	v6
A0A087WTH1	71.12	72.38	41.62	91.62	5.7	55.6	33.9	4.8	Good	828	v6
A0A087WUL8	39.8	34.62	23.44	97.12	5.0	4.4	2.7	88.0	Poor	11264	v6
A0A087WUL8	35.88	35.47	23.36	61.22	0.0	0.0	0.9	99.1	Poor	11187	v6
A0A087WUL8	34.89	34.72	21.89	51.81	0.0	0.0	0.1	99.9	Poor	11202	v6
A0A087WUL8	34.25	34.12	22.62	51.5	0.0	0.0	0.1	99.9	Poor	11191	v6
A0A087WUL8	35.83	35.69	20.97	58.0	0.0	0.0	0.3	99.7	Poor	11191	v6
A0A087WUL8	35.91	35.62	24.7	54.84	0.0	0.0	0.8	99.2	Poor	9975	v6
A0A087WUL8	35.08	34.81	20.8	57.91	0.0	0.0	0.1	99.9	Poor	11219	v6
A0A087WUL8	36.09	36.0	23.2	53.59	0.0	0.0	0.7	99.3	Poor	11236	v6
A0A087WUL8	35.94	35.81	20.73	53.41	0.0	0.0	0.3	99.7	Poor	11202	v6
A0A087WUL8	34.07	33.84	20.36	52.88	0.0	0.0	0.3	99.7	Poor	11226	v6
A0A087WUL8	34.73	34.78	22.2	53.44	0.0	0.0	0.2	99.8	Poor	11208	v6
A0A087WUL8	35.55	35.44	22.22	53.78	0.0	0.0	0.4	99.6	Poor	11202	v6
A0A087WUL8	36.36	36.44	21.31	57.75	0.0	0.0	0.7	99.3	Poor	11209	v6
A0A087WUL8	36.65	36.34	22.39	60.12	0.0	0.0	1.8	98.2	Poor	11194	v6
A0A087WUM9	59.55	56.62	36.16	87.31	0.0	19.1	65.8	15.1	Medium	841	v6
A0A087WUV0	66.74	84.0	23.27	95.12	29.0	25.0	8.9	37.1	Medium	4178	v6
A0A087WV53	90.36	97.0	43.31	98.69	77.3	10.8	9.8	2.1	Excellent	1835	v6
A0A087WV62	91.12	96.81	52.94	98.69	79.1	7.4	13.4	0.0	Excellent	901	v6
A0A087WVF3	60.43	59.84	22.53	96.69	24.7	21.2	8.3	45.8	Medium	4377	v6
A0A087WW49	90.77	97.38	56.75	98.81	78.8	5.5	15.7	0.0	Excellent	915	v6
A0A087WW87	90.41	97.81	41.97	98.88	79.8	4.0	14.2	2.0	Excellent	934	v6
A0A087WWA1	60.96	61.66	44.25	77.0	0.0	8.7	83.6	7.7	Medium	770	v6
A0A087WXM9	54.26	52.62	35.03	83.19	0.0	7.1	51.0	41.9	Medium	2863	v6
A0A087WXS9	60.13	58.09	22.64	96.81	24.4	20.8	8.5	46.3	Medium	4377	v6
A0A087WYE8	90.12	96.5	44.97	98.62	78.2	6.3	14.6	0.9	Excellent	910	v6
A0A087WZ39	90.45	96.56	47.03	98.69	82.8	0.9	15.4	0.9	Excellent	908	v6
A0A087X0K7	88.88	94.19	55.94	98.38	68.8	23.3	7.9	0.0	Good	909	v6
A0A087X0M5	91.74	97.31	51.75	98.69	82.7	5.9	11.3	0.0	Excellent	910	v6
A0A087X179	60.44	60.31	22.06	97.06	24.9	20.7	8.8	45.6	Medium	4373	v6
A0A087X1C5	91.33	95.44	29.0	98.75	76.0	19.4	2.3	2.3	Excellent	4054	v6
A0A087X1G2	60.96	60.69	23.16	97.25	25.3	20.8	8.1	45.8	Medium	4376	v6
A0A096LNP1	68.41	73.44	39.66	84.62	0.0	56.1	29.9	14.1	Medium	569	v6
A0A096LNW5	84.61	92.19	40.31	97.94	60.5	20.3	12.7	6.6	Good	2079	v6
A0A096LP01	72.61	74.5	41.69	96.62	16.1	41.5	33.5	8.9	Good	771	v6
A0A096LP49	44.82	37.5	25.69	97.81	7.7	6.7	4.0	81.6	Poor	8079	v6
A0A096LP55	85.55	95.25	48.81	98.31	66.5	7.7	24.7	1.1	Good	750	v6
A0A096LPG2	74.19	72.62	62.81	83.12	0.0	76.2	23.8	0.0	Good	189	v6
A0A096LPI5	57.44	58.03	45.66	70.62	0.0	0.5	87.0	12.5	Medium	839	v6
A0A096LPK9	84.93	86.75	36.97	97.88	34.2	58.6	5.4	1.8	Good	2503	v6
A0A0A0MRZ7	88.66	96.75	40.59	98.81	76.6	5.3	13.6	4.5	Good	933	v6
A0A0A0MRZ8	88.61	97.44	37.66	98.81	75.8	3.4	18.7	2.1	Good	891	v6
A0A0A0MRZ9	90.31	97.25	37.97	98.75	77.6	7.4	13.2	1.8	Excellent	947	v6
A0A0A0MS00	82.19	91.38	39.19	97.44	52.0	22.8	17.1	8.1	Good	867	v6
A0A0A0MS01	88.49	96.44	37.31	98.75	76.0	9.8	3.4	10.8	Good	947	v6
A0A0A0MS02	85.63	93.25	48.53	97.94	62.0	16.9	20.2	0.9	Good	935	v6
A0A0A0MS03	89.96	97.25	43.38	98.69	76.7	7.6	14.8	0.9	Good	886	v6
A0A0A0MS04	92.52	97.31	50.84	98.81	83.0	8.5	8.5	0.0	Excellent	881	v6
A0A0A0MS05	91.44	97.5	47.25	98.62	83.1	1.5	14.4	0.9	Excellent	872	v6
A0A0A0MS06	90.69	96.44	51.44	98.75	83.6	0.6	15.8	0.0	Excellent	892	v6
A0A0A0MS14	90.55	97.12	42.88	98.5	78.9	6.7	13.5	0.8	Excellent	949	v6
A0A0A0MS15	91.18	97.75	50.72	98.81	83.8	0.7	15.6	0.0	Excellent	918	v6
A0A0A0MT36	90.93	97.69	47.88	98.88	79.7	3.1	16.2	0.9	Excellent	869	v6
A0A0A0MT70	91.29	92.75	81.5	97.0	65.8	34.2	0.0	0.0	Excellent	117	v6
A0A0A0MT76	68.29	63.12	46.69	93.0	11.3	21.7	65.0	2.1	Medium	337	v6
A0A0A0MT82	58.71	57.22	40.88	78.75	0.0	18.2	63.1	18.8	Medium	314	v6
A0A0A0MT86	69.69	68.88	62.72	77.56	0.0	36.2	63.8	0.0	Medium	199	v6
A0A0A0MT87	86.36	87.75	72.5	93.19	21.1	78.9	0.0	0.0	Good	123	v6
A0A0A0MT93	72.84	72.62	59.66	82.0	0.0	65.5	34.5	0.0	Good	165	v6
A0A0A0MT94	83.56	86.62	53.28	95.5	39.0	48.8	12.2	0.0	Good	123	v6
A0A0A0MT99	50.22	51.22	35.53	63.31	0.0	0.0	56.3	43.7	Medium	387	v6
A0A0A0MTA7	82.73	85.31	65.69	92.62	13.8	72.3	13.8	0.0	Good	130	v6
A0A0A6YYC5	90.15	97.38	37.28	98.81	81.5	2.1	13.3	3.1	Excellent	907	v6
A0A0A6YYD4	90.66	97.81	40.75	98.88	77.0	10.8	9.9	2.2	Excellent	980	v6
A0A0A6YYG2	91.24	97.81	41.97	98.88	83.1	0.0	16.0	0.9	Excellent	885	v6
A0A0A6YYG3	90.56	96.5	55.44	98.25	80.4	3.1	16.5	0.0	Excellent	862	v6
A0A0A6YYJ7	90.41	97.56	34.69	98.75	81.8	3.6	10.0	4.6	Excellent	897	v6
A0A0A6YYK1	91.58	97.06	59.81	98.5	80.6	8.4	11.0	0.0	Excellent	905	v6
A0A0A6YYK4	82.66	91.44	40.69	95.5	60.2	17.2	19.5	3.0	Good	887	v6
A0A0A6YYK6	91.51	95.69	57.09	98.31	75.0	21.1	3.9	0.0	Excellent	887	v6
A0A0A6YYK7	91.34	97.19	57.94	98.69	82.3	2.6	15.1	0.0	Excellent	928	v6
A0A0A6YYL3	71.63	89.75	21.98	98.69	49.7	12.9	5.3	32.1	Good	4311	v6
A0A0B4J1T7	79.16	88.38	43.38	96.19	39.6	28.9	28.7	2.9	Good	942	v6
A0A0B4J1U3	89.86	97.38	51.47	98.75	77.7	2.4	19.9	0.0	Good	878	v6
A0A0B4J1U4	86.08	94.25	48.44	98.19	64.2	15.5	19.3	0.9	Good	962	v6
A0A0B4J1U6	91.81	97.06	55.03	98.69	80.0	8.0	12.0	0.0	Excellent	886	v6
A0A0B4J1U7	91.32	97.31	50.81	98.69	81.8	2.7	15.4	0.0	Excellent	952	v6
A0A0B4J1V0	91.08	97.75	41.94	98.81	83.7	0.7	13.8	1.9	Excellent	908	v6
A0A0B4J1V1	90.77	97.31	53.28	98.75	82.3	1.0	16.7	0.0	Excellent	902	v6
A0A0B4J1V2	92.03	97.69	57.75	98.88	82.8	1.6	15.6	0.0	Excellent	922	v6
A0A0B4J1V6	90.97	97.69	44.34	98.81	82.5	1.7	15.0	0.9	Excellent	903	v6
A0A0B4J1V7	90.24	96.06	46.84	98.31	83.5	0.7	15.0	0.9	Excellent	909	v6
A0A0B4J1W7	50.59	48.69	29.39	76.31	0.0	9.2	38.9	51.9	Medium	2952	v6
A0A0B4J1X5	90.93	97.69	47.84	98.81	82.5	1.0	15.6	0.9	Excellent	903	v6
A0A0B4J1X8	90.72	97.44	44.88	98.75	81.6	2.2	15.3	0.9	Excellent	920	v6
A0A0B4J1Y8	87.49	95.38	32.44	98.31	72.7	6.6	16.0	4.7	Good	916	v6
A0A0B4J1Y9	90.97	97.44	47.84	98.75	82.8	1.0	15.4	0.9	Excellent	928	v6
A0A0B4J1Z2	90.19	97.88	47.41	98.75	78.6	2.8	16.8	1.7	Excellent	915	v6
A0A0B4J200	89.8	90.75	75.5	96.88	60.5	39.5	0.0	0.0	Good	124	v6
A0A0B4J234	90.89	97.38	48.91	98.69	77.6	12.8	8.7	0.9	Excellent	882	v6
A0A0B4J235	89.81	96.56	51.5	98.5	73.6	16.4	9.9	0.0	Good	895	v6
A0A0B4J237	91.22	97.19	59.69	98.5	77.4	8.1	14.5	0.0	Excellent	876	v6
A0A0B4J238	88.08	95.44	41.94	98.19	77.4	5.2	12.7	4.7	Good	833	v6
A0A0B4J240	91.2	97.12	59.03	98.81	77.1	13.2	9.7	0.0	Excellent	903	v6
A0A0B4J241	90.8	97.94	45.72	98.88	80.5	1.5	16.3	1.7	Excellent	887	v6
A0A0B4J244	91.55	97.5	50.69	98.69	80.9	3.7	15.4	0.0	Excellent	889	v6
A0A0B4J245	93.09	95.31	73.56	98.38	82.8	17.2	0.0	0.0	Excellent	906	v6
A0A0B4J248	88.32	95.06	44.12	98.38	77.0	7.7	11.9	3.3	Good	839	v6
A0A0B4J249	87.83	96.31	39.06	98.69	72.7	8.7	15.9	2.6	Good	910	v6
A0A0B4J262	90.68	97.25	37.28	98.62	80.0	6.5	9.9	3.6	Excellent	897	v6
A0A0B4J263	91.82	97.38	60.25	98.81	80.3	8.2	11.5	0.0	Excellent	880	v6
A0A0B4J264	90.75	96.56	50.25	98.62	79.0	7.8	13.1	0.0	Excellent	930	v6
A0A0B4J265	91.63	96.5	52.34	98.75	82.2	9.4	8.5	0.0	Excellent	852	v6
A0A0B4J266	92.53	96.88	61.12	98.81	76.6	19.1	4.3	0.0	Excellent	868	v6
A0A0B4J268	89.22	95.94	45.09	98.62	71.8	14.2	13.0	0.9	Good	859	v6
A0A0B4J271	92.33	96.69	59.47	98.56	77.4	18.7	3.9	0.0	Excellent	926	v6
A0A0B4J272	88.27	95.88	43.16	98.75	72.6	6.6	20.0	0.9	Good	911	v6
A0A0B4J273	90.73	95.69	55.75	98.62	70.4	20.5	9.1	0.0	Excellent	875	v6
A0A0B4J274	92.06	96.75	60.53	98.81	77.6	16.6	5.8	0.0	Excellent	892	v6
A0A0B4J275	89.26	97.19	50.38	98.69	72.9	11.9	15.2	0.0	Good	876	v6
A0A0B4J276	91.65	96.56	63.53	98.75	79.0	13.2	7.8	0.0	Excellent	870	v6
A0A0B4J277	93.46	97.25	61.25	98.81	81.2	17.8	0.9	0.0	Excellent	853	v6
A0A0B4J279	92.54	97.25	61.84	98.81	77.5	18.2	4.3	0.0	Excellent	864	v6
A0A0B4J280	84.86	94.69	42.16	98.19	61.7	13.8	18.5	5.9	Good	810	v6
A0A0B4J2A2	96.63	97.44	69.81	98.75	98.2	1.2	0.6	0.0	Excellent	1277	v6
A0A0B4J2B5	96.47	97.19	86.62	98.62	98.3	1.7	0.0	0.0	Excellent	751	v6
A0A0B4J2B6	89.11	96.75	42.69	98.69	72.2	11.9	14.2	1.7	Good	923	v6
A0A0B4J2B8	90.83	96.75	48.5	98.5	79.8	6.8	12.5	0.9	Excellent	903	v6
A0A0B4J2D9	90.08	98.38	44.31	98.94	77.2	3.3	17.7	1.8	Excellent	883	v6
A0A0B4J2E0	90.08	96.69	46.81	98.62	78.3	5.4	15.0	1.3	Excellent	906	v6
A0A0B4J2F0	85.4	87.69	57.75	97.06	29.4	60.4	10.1	0.0	Good	445	v6
A0A0B4J2H0	90.85	97.25	45.66	98.56	80.8	5.3	12.1	1.8	Excellent	891	v6
A0A0C4DGP1	67.9	68.44	47.78	79.5	0.0	40.4	57.5	2.0	Medium	544	v6
A0A0C4DH24	90.62	97.69	41.78	98.88	79.7	3.1	14.6	2.6	Excellent	876	v6
A0A0C4DH25	89.74	97.88	46.22	98.88	78.2	2.6	18.1	1.0	Good	882	v6
A0A0C4DH26	91.93	98.19	62.34	98.88	77.9	7.4	14.7	0.0	Excellent	886	v6
A0A0C4DH27	85.89	92.12	51.78	98.25	58.8	22.1	19.1	0.0	Good	941	v6
A0A0C4DH28	84.53	91.69	47.53	97.75	56.3	21.3	21.0	1.5	Good	926	v6
A0A0C4DH29	91.44	97.62	47.59	98.69	83.5	1.4	13.3	1.7	Excellent	915	v6
A0A0C4DH30	89.75	96.31	47.81	98.62	79.1	5.7	14.4	0.9	Good	919	v6
A0A0C4DH31	91.19	97.12	47.72	98.62	83.8	2.0	12.4	1.8	Excellent	901	v6
A0A0C4DH32	90.73	97.44	43.47	98.81	82.3	1.7	14.1	1.9	Excellent	891	v6
A0A0C4DH33	90.73	96.88	42.41	98.5	81.6	4.2	12.4	1.8	Excellent	897	v6
A0A0C4DH34	90.73	97.44	57.09	98.81	76.5	7.1	16.4	0.0	Excellent	928	v6
A0A0C4DH35	90.77	97.25	44.59	98.75	83.7	0.7	14.7	0.9	Excellent	902	v6
A0A0C4DH36	89.72	95.94	57.28	98.62	76.8	7.0	16.2	0.0	Good	896	v6
A0A0C4DH38	93.5	97.62	58.41	98.75	84.8	9.8	5.4	0.0	Excellent	889	v6
A0A0C4DH39	91.32	97.56	51.0	98.69	82.5	1.6	15.9	0.0	Excellent	914	v6
A0A0C4DH41	90.98	97.69	58.09	98.81	79.4	4.1	16.5	0.0	Excellent	924	v6
A0A0C4DH42	90.49	97.12	46.69	98.81	82.3	1.0	15.8	0.9	Excellent	891	v6
A0A0C4DH43	91.78	97.56	55.75	98.81	82.5	2.6	14.9	0.0	Excellent	932	v6
A0A0C4DH55	87.98	97.88	40.25	98.88	73.7	4.4	16.3	5.6	Good	928	v6
A0A0C4DH59	91.46	97.44	49.12	98.69	81.0	2.6	15.4	0.9	Excellent	881	v6
A0A0C4DH62	86.99	86.25	66.44	95.94	45.6	50.7	3.7	0.0	Good	136	v6
A0A0C4DH63	79.49	79.31	63.47	90.69	4.7	78.7	16.7	0.0	Good	150	v6
A0A0C4DH67	90.63	98.25	45.5	98.94	79.7	2.6	16.8	0.9	Excellent	881	v6
A0A0C4DH68	90.07	96.69	55.84	98.75	76.1	7.2	16.7	0.0	Excellent	918	v6
A0A0C4DH69	90.76	98.31	45.69	98.94	77.2	4.5	16.6	1.8	Excellent	894	v6
A0A0C4DH72	89.93	98.31	44.66	98.88	77.2	2.8	18.2	1.8	Good	891	v6
A0A0C4DH73	89.97	98.25	43.81	98.88	76.7	4.4	17.1	1.8	Good	888	v6
A0A0C4DH90	89.66	97.81	44.12	98.81	77.2	4.6	17.3	0.9	Good	886	v6
A0A0C5B5G6	72.0	70.94	57.91	80.44	0.0	58.8	41.2	0.0	Good	153	v6
A0A0D9SF12	59.57	53.5	36.84	91.12	3.8	19.8	48.6	27.8	Medium	1139	v6
A0A0G2JKW9	69.72	72.81	41.56	86.12	0.0	56.6	34.1	9.2	Medium	249	v6
A0A0G2JLG4	85.92	90.06	36.28	98.25	51.8	37.6	6.8	3.8	Good	3286	v6
A0A0G2JLW4	52.55	52.75	31.33	67.31	0.0	0.0	62.2	37.8	Medium	1033	v6
A0A0G2JMD5	76.75	85.31	24.34	97.94	32.8	40.0	11.4	15.7	Good	3871	v6
A0A0G2JMH3	53.88	50.94	25.8	84.31	0.0	33.0	17.0	50.0	Medium	1368	v6
A0A0G2JMI3	91.86	97.75	42.5	98.75	84.4	1.9	12.0	1.8	Excellent	902	v6
A0A0G2JMM0	87.12	94.31	32.75	98.38	72.4	15.5	2.1	9.9	Good	2535	v6
A0A0G2JN01	87.08	94.25	32.97	98.31	72.0	16.0	2.0	10.1	Good	2535	v6
A0A0G2JN53	64.87	56.38	33.28	98.88	31.3	4.8	22.5	41.4	Medium	1412	v6
A0A0G2JN68	72.17	84.56	30.84	97.88	40.3	19.6	9.4	30.7	Good	2861	v6
A0A0G2JND7	52.09	56.16	26.27	67.94	0.0	0.0	64.6	35.4	Medium	1122	v6
A0A0G2JNF4	76.08	91.5	31.88	98.5	53.7	9.6	10.7	25.9	Good	2721	v6
A0A0G2JNH3	85.35	87.56	37.22	97.94	35.5	58.4	4.6	1.5	Good	2510	v6
A0A0G2JNJ9	42.04	40.34	26.55	59.72	0.0	0.0	24.7	75.3	Poor	1052	v6
A0A0G2JPN4	62.81	64.19	45.78	71.81	0.0	8.2	86.0	5.7	Medium	279	v6
A0A0G2JQF1	87.0	92.06	61.28	94.56	55.7	30.5	13.8	0.0	Good	210	v6
A0A0G2JQZ4	52.56	48.12	35.91	84.94	0.0	18.7	20.0	61.3	Medium	1054	v6
A0A0G2JRQ6	91.0	98.31	44.84	98.88	78.2	3.2	17.7	0.9	Excellent	894	v6
A0A0G2JS06	90.28	97.44	41.81	98.75	77.3	6.2	15.8	0.7	Excellent	943	v6
A0A0J9YVY3	91.11	97.69	48.56	98.75	83.3	0.7	15.1	0.9	Excellent	905	v6
A0A0J9YW62	75.04	80.62	33.09	92.06	2.9	69.8	14.5	12.9	Good	933	v6
A0A0J9YWL9	51.91	47.22	22.89	98.12	10.2	8.8	22.9	58.0	Medium	7676	v6
A0A0J9YWP8	80.61	80.88	70.88	86.25	0.0	100.0	0.0	0.0	Good	123	v6
A0A0J9YWU9	90.79	97.25	57.81	98.81	79.0	4.4	16.6	0.0	Excellent	916	v6
A0A0J9YWX3	86.07	85.88	72.62	95.69	31.1	68.9	0.0	0.0	Good	132	v6
A0A0J9YX35	91.2	97.62	56.16	98.81	81.2	1.0	17.8	0.0	Excellent	901	v6
A0A0J9YX57	67.58	71.62	25.66	97.31	23.4	27.5	14.2	34.9	Medium	3104	v6
A0A0J9YX75	92.24	97.56	51.81	98.81	83.0	2.9	14.2	0.0	Excellent	875	v6
A0A0J9YX94	61.09	59.75	25.92	94.06	9.6	37.7	7.5	45.2	Medium	4218	v6
A0A0J9YXG5	89.6	91.5	65.19	96.69	57.7	36.6	5.7	0.0	Good	123	v6
A0A0J9YXM7	82.29	83.25	59.09	89.88	0.0	95.2	4.8	0.0	Good	125	v6
A0A0J9YXQ4	56.18	45.5	27.08	89.31	0.0	39.1	7.2	53.7	Medium	4583	v6
A0A0J9YXV3	42.28	40.78	29.14	79.06	0.0	1.7	9.2	89.1	Poor	3840	v6
A0A0J9YXX1	93.87	97.69	59.56	98.75	84.9	9.7	5.4	0.0	Excellent	896	v6
A0A0J9YXY3	91.41	97.69	42.47	98.88	83.4	0.6	15.2	0.9	Excellent	877	v6
A0A0J9YY54	49.64	39.66	26.25	98.69	12.2	5.9	13.2	68.6	Poor	5540	v6
A0A0J9YY99	90.87	97.56	47.19	98.81	82.5	1.6	15.0	0.9	Excellent	913	v6
A0A0K0K1A3	92.1	97.62	58.38	98.81	80.3	10.2	9.5	0.0	Excellent	914	v6
A0A0K0K1A5	92.4	97.88	52.22	98.88	83.4	2.7	14.0	0.0	Excellent	867	v6
A0A0K0K1B3	91.46	96.5	60.88	98.5	80.7	8.0	11.3	0.0	Excellent	862	v6
A0A0K0K1C0	90.51	96.12	55.38	98.56	77.7	8.7	13.6	0.0	Excellent	898	v6
A0A0K0K1C4	92.7	97.44	50.72	98.88	83.8	11.0	5.2	0.0	Excellent	900	v6
A0A0K0K1D8	92.4	97.88	53.12	98.88	82.9	2.8	14.3	0.0	Excellent	883	v6
A0A0K0K1E9	90.41	96.88	49.97	98.5	82.1	1.7	15.4	0.9	Excellent	899	v6
A0A0K0K1G6	92.31	97.5	58.5	98.88	80.4	12.0	7.6	0.0	Excellent	917	v6
