uniprot_id	sequence_len	mass_recalc	isoelectric_point	gravy	aromaticity	instability_index
A5D8V6	355	38658.483700	5.187547	-0.672113	0.070423	82.155239
A5D8V7	595	69138.679800	9.108045	-0.935462	0.040336	49.578319
A5D8W1	941	105881.896100	6.807913	-0.139214	0.069075	42.104687
A5LHX3	300	32530.079500	5.989773	-0.317000	0.076667	48.790367
A5PKW4	1024	109541.467200	6.428058	-0.598730	0.060547	56.711543
A5PLL7	270	31134.597400	6.333251	-0.040000	0.118519	37.964444
A5X5Y0	456	51437.310600	6.461991	0.126535	0.109649	47.391754
A5YKK6	2376	266935.829900	6.653254	-0.157155	0.078704	44.823232
A5YM72	827	88483.437200	5.826929	0.124667	0.053204	40.200617
A6BM72	1044	110843.120200	5.780378	-0.285824	0.072797	59.130565
A6H8Y1	2624	293881.761700	5.061251	-0.960556	0.028201	59.497828
A6H8Z2	402	45393.782900	5.370796	-0.775871	0.067164	66.312687
A6NC98	1476	164807.120200	5.088818	-0.829065	0.020325	64.132663
A6NCS4	301	32120.871500	9.910676	-0.651827	0.063123	56.299668
A6ND01	250	28671.596300	5.877857	-0.282000	0.132000	59.876440
A6ND36	823	90833.886400	5.965332	-0.696598	0.061968	55.359320
A6NDB9	673	71694.631200	4.525600	-0.929421	0.019316	67.298811
A6NDE4	496	55833.950800	9.963734	-1.403629	0.094758	59.665524
A6NDG6	321	34005.679600	5.851483	0.023364	0.062305	35.635234
A6NDV4	472	51940.107100	8.345448	0.325636	0.108051	54.726992
A6NED2	376	40078.449700	5.182773	-0.251330	0.082447	37.368378
A6NEM1	432	49192.173300	5.082509	-1.055787	0.034722	66.522454
A6NFA1	517	57420.453800	6.187459	-0.371760	0.079304	59.732108
A6NFQ2	919	100904.889200	6.750619	-0.094559	0.082699	39.464091
A6NFX1	504	53742.410300	9.096183	0.517063	0.101190	42.213353
A6NFY7	115	12806.258300	11.392740	-0.994783	0.043478	62.715652
A6NGG8	1288	139653.759300	8.398184	-0.813742	0.040373	79.275629
A6NGQ2	149	17169.551000	6.590618	-0.438255	0.073826	41.637651
A6NHL2	446	49908.184000	5.680455	-0.173767	0.091928	38.149776
A6NHQ2	334	34802.921100	10.352091	-0.422754	0.059880	40.012874
A6NHR9	2005	226370.846100	6.951034	-0.406484	0.077805	42.978469
A6NHX0	329	36055.959400	5.021691	0.207903	0.091185	38.414316
A6NI15	193	20778.120600	9.028684	-0.588601	0.056995	56.183420
A6NI61	221	24699.149800	8.981171	0.525792	0.140271	36.801403
A6NI73	299	32754.745800	6.499846	-0.267224	0.076923	62.170936
A6NIH7	251	28136.248400	5.454577	-0.456574	0.099602	47.676135
A6NIX2	430	45123.581200	8.532342	-0.380698	0.055814	65.137000
A6NJ46	265	28947.977800	9.298485	-0.705283	0.086792	38.619283
A6NJ78	407	46120.513000	8.800466	-0.379115	0.073710	43.614988
A6NK06	481	52627.677400	7.014864	-0.031185	0.083160	44.653680
A6NK58	231	25195.070500	8.632204	0.011688	0.047619	64.096104
A6NK89	507	56898.897700	5.292813	-0.812032	0.031558	73.831164
A6NKB5	2137	237274.187500	6.291247	-0.203790	0.080019	48.977038
A6NKF2	412	44072.527900	5.344877	-0.514806	0.048544	71.202670
A6NMZ7	2263	247170.434300	6.443575	-0.358904	0.071586	38.002970
A6NNB3	132	14377.505100	8.477931	0.131061	0.098485	25.526515
A6NNM8	815	93644.151600	9.119005	-0.667485	0.072393	55.194847
A6NNN8	435	46730.088400	7.417682	0.880460	0.112644	39.632184
A6NNY8	438	49629.878000	6.754371	-0.441781	0.082192	52.806187
A6NNZ2	444	49572.098600	4.750285	-0.340991	0.092342	38.539865
A6PVC2	850	94674.982000	8.547621	-0.434235	0.070588	52.167541
A7E2V4	1837	197295.085600	6.345357	-0.382852	0.066957	60.202787
A7E2Y1	1983	225842.205900	5.814254	-0.717600	0.049420	47.663338
A7KAX9	2087	230526.342500	6.270614	-0.649497	0.067082	58.586885
A7MCY6	615	67701.323200	5.617250	-0.683089	0.052033	90.538211
A7MD48	611	68557.851600	11.751636	-1.603110	0.044190	127.477087
A7XYQ1	873	92656.745000	7.767412	-0.533792	0.040092	65.056140
A8CG34	1229	125090.331700	10.380329	-0.352563	0.062653	68.204158
A8K0Z3	465	50327.307200	5.493114	-0.547742	0.051613	66.078301
A8K2U0	1454	161104.603800	5.500957	-0.157634	0.100413	38.546988
A8K4G0	201	22688.843600	6.826499	-0.280100	0.084577	56.311443
A8K7I4	914	100224.334900	5.967094	-0.279431	0.075492	38.637549
A8K830	251	27416.682900	4.658888	-0.474104	0.107570	70.108446
A8K8P3	1242	147661.741700	10.815812	-0.689694	0.095008	58.246868
A8K8V0	405	46167.836300	9.280691	-0.770123	0.098765	59.606420
A8MPY1	467	54270.996500	8.328493	-0.041113	0.132762	54.102420
A8MQ03	144	15313.366700	6.668828	-0.404861	0.034722	60.122917
A8MQ27	555	59268.878800	8.758433	-0.192973	0.063063	51.049387
A8MT69	81	8959.314600	5.587466	0.079012	0.049383	12.004938
A8MTA8	275	30574.327700	8.382518	-0.519273	0.105455	46.873818
A8MTJ3	354	40356.553200	5.687162	-0.349153	0.093220	37.549718
A8MTJ6	420	43325.713000	8.510810	-0.387381	0.083333	71.915500
A8MTQ0	251	27002.292100	9.434255	-0.439442	0.071713	69.972550
A8MTZ0	92	10506.301400	9.415430	-0.543478	0.021739	39.188043
A8MU46	494	52986.158500	4.668152	-1.117004	0.034413	59.307692
A8MUP2	240	25909.417700	5.506869	0.095833	0.083333	42.706667
A8MV65	326	36008.539700	5.897921	-0.678834	0.088957	65.234663
A8MVW5	462	51406.114900	6.094072	-0.162987	0.095238	36.229654
A8MW92	1017	115009.051900	6.393841	-0.876794	0.065880	56.219479
A8MW95	431	48152.526800	4.779500	-0.394896	0.069606	40.184455
A8MW99	385	44023.542700	5.819085	-0.303117	0.090909	53.810727
A8MXD5	290	32293.251700	7.484354	-0.521379	0.062069	53.437241
A8MXV4	375	42232.784000	7.281268	-0.340000	0.101333	64.122427
A8MYU2	1149	129541.909500	8.079774	0.006266	0.107050	47.636493
A8MZ59	198	22358.017300	9.095409	-0.655051	0.075758	59.032323
A8TX70	2615	289922.094700	6.498652	-0.410019	0.082218	35.849683
A9QM74	516	56937.212700	5.725301	-0.026357	0.046512	55.312016
A9UHW6	222	25422.951700	5.230972	-0.190541	0.090090	54.022523
A9YTQ3	701	76264.437500	9.139892	-0.459914	0.054208	61.487746
B0I1T2	1018	116440.690300	8.961186	-0.401768	0.086444	42.211218
B0YJ81	288	32387.405500	9.096054	0.258681	0.131944	40.538646
B1AK53	854	91731.495400	6.469380	-0.591452	0.039813	66.518501
B2RTY4	2548	292702.235900	9.028362	-0.623980	0.077316	51.026625
B2RUY7	222	24569.796000	5.063411	-0.324324	0.072072	48.722973
B2RUZ4	78	8749.031700	9.216739	-0.076923	0.102564	63.619231
B2RXF5	422	46490.792500	8.845852	-0.439810	0.061611	56.166848
B2RXH2	506	56803.604700	7.946389	-0.510277	0.098814	44.579269
B6A8C7	271	29454.539200	8.703055	-0.001476	0.088561	42.224354
B7U540	433	48879.475600	5.760086	-0.098845	0.094688	42.446882
B7ZAQ6	455	52916.337500	9.339615	0.556264	0.158242	52.112374
C9JE40	543	61463.233400	5.001627	-0.389687	0.071823	60.474770
C9JLW8	97	10920.092400	9.393124	-0.896907	0.072165	70.947423
C9JR72	458	49484.823000	5.466456	0.082533	0.096070	42.839738
C9JRZ8	316	36536.608700	6.231395	-0.356329	0.117089	28.892753
D3W0D1	207	24007.241700	5.830737	-0.128019	0.144928	30.191787
D6RGH6	385	41719.456400	5.615488	-0.497403	0.051948	62.051169
E0CX11	47	5265.194100	9.100760	-0.170213	0.085106	34.982979
H0YL14	139	16083.250500	10.477869	0.632374	0.143885	43.733094
H3BV60	292	30174.822000	11.444379	-0.050342	0.041096	80.006849
K7EJ46	83	9248.730500	6.054626	0.230120	0.072289	40.214458
K9M1U5	179	19674.760500	11.286947	-0.213408	0.044693	62.746927
M0R2J8	1783	200589.093000	9.043254	-0.456478	0.066181	49.347622
O00115	360	39580.371000	8.296001	-0.261389	0.122222	43.503056
O00116	658	72910.966300	6.988093	-0.334498	0.089666	34.060213
O00124	270	30540.776700	7.634693	-0.359630	0.070370	57.652630
O00139	706	79953.632500	6.278458	-0.647025	0.058074	47.835269
O00141	431	48941.796900	8.698219	-0.319026	0.102088	56.282459
O00142	265	31004.428800	8.713047	-0.476604	0.086792	49.743774
O00144	591	64465.618800	8.630786	0.223858	0.104907	36.642640
O00148	427	49128.970600	5.459181	-0.297892	0.081967	49.324122
O00151	329	36071.306900	6.563051	-0.521884	0.057751	53.203647
O00154	380	41795.592900	8.854620	-0.302895	0.047368	45.510526
O00155	361	38778.133800	9.557905	0.485596	0.094183	51.599723
O00159	1063	121680.151200	9.460171	-0.386736	0.090310	49.551863
O00160	1098	124842.794200	9.207326	-0.548998	0.093807	48.287978
O00161	211	23353.807100	4.893235	-0.821801	0.018957	42.893365
O00165	279	31620.121100	4.760004	-0.969534	0.111111	65.355914
O00167	538	59231.445500	6.020181	-0.424535	0.100372	49.054294
O00168	92	10441.045300	9.348383	-0.089130	0.076087	85.863043
O00170	330	37663.644200	5.977382	-0.495152	0.072727	37.526667
O00175	119	13133.403800	9.997451	-0.067227	0.075630	39.998319
O00178	669	72453.020700	8.600163	-0.307474	0.049327	44.117190
O00180	336	38142.631200	5.935832	0.282738	0.139881	43.011964
O00182	355	39517.707100	9.337295	-0.164507	0.112676	50.517465
O00186	592	67763.515200	7.980429	-0.436486	0.077703	38.420794
O00187	686	75701.518300	5.386199	-0.282945	0.110787	40.495831
O00189	453	49976.406900	6.711741	-0.131126	0.077263	45.964481
O00192	962	104640.634200	6.382701	-0.555509	0.045738	54.772661
O00194	218	24607.568500	5.353858	-0.486697	0.100917	22.746789
O00198	91	9883.569400	11.750604	-0.129670	0.054945	70.058242
O00203	1094	121318.738200	5.754743	-0.382541	0.054845	51.767212
O00204	365	41307.210400	5.240635	-0.544658	0.109589	53.954247
O00206	839	95679.001100	5.880187	0.032777	0.108462	43.045316
O00212	210	23465.634800	8.521383	-0.144286	0.100000	48.219095
O00213	710	77243.309000	4.976220	-0.512958	0.060563	61.749718
O00214	317	35807.671600	8.334747	-0.217350	0.091483	30.146688
O00217	210	23704.856000	5.996423	-0.392381	0.090476	43.089048
O00219	553	62997.569700	8.769393	0.192767	0.139241	46.913038
O00220	468	50088.519100	6.640522	-0.247863	0.047009	51.380128
O00221	500	52862.943200	6.221050	-0.433600	0.026000	60.643400
O00222	908	101739.405200	8.485796	-0.049009	0.098018	35.454416
O00231	422	47463.202100	6.082306	-0.182227	0.066351	41.522536
O00232	456	52903.817000	7.534031	-0.384211	0.065789	45.972149
O00233	223	24681.535600	6.455625	-0.619731	0.031390	63.806726
O00237	685	79403.771100	5.452189	-0.232993	0.134307	45.002964
O00238	502	56929.831000	7.784122	-0.360159	0.077689	53.023307
O00244	68	7401.559600	6.711116	-0.151471	0.044118	35.563235
O00253	132	14439.765800	7.441895	-0.060606	0.037879	57.019697
O00254	374	42507.697500	8.559226	0.625668	0.163102	41.838556
O00255	610	67495.959500	6.136872	-0.363607	0.081967	49.501656
O00257	560	61366.773100	9.407114	-0.884107	0.050000	49.436071
O00258	174	19779.333100	9.712372	0.368391	0.103448	45.815575
O00264	195	21670.887100	4.560158	-0.563590	0.087179	44.739538
O00267	1087	120998.133400	4.949335	-0.738362	0.073597	53.047194
O00268	1085	110112.970700	9.948842	-0.295392	0.020276	56.237143
O00270	319	35074.154500	9.369980	0.633542	0.109718	47.484702
O00273	331	36521.479300	4.677247	-0.451964	0.036254	62.186405
O00287	272	28232.034900	5.413823	-0.628676	0.033088	52.981985
O00291	1037	116219.847500	5.198062	-0.503279	0.050145	47.519016
O00292	366	40919.729900	8.907871	-0.227596	0.068306	50.981967
O00294	542	60608.745700	9.488151	-1.049631	0.053506	57.220664
O00299	241	26922.402000	5.086544	-0.283817	0.087137	36.957261
O00300	401	46025.556500	8.661408	-0.483042	0.084788	49.083791
O00303	357	37563.413800	5.237111	0.043137	0.053221	49.765546
O00305	520	58168.496900	9.366499	-0.704615	0.057692	59.905192
O00308	870	98910.864900	6.669624	-0.690460	0.098851	50.856126
O00311	574	63887.487400	8.958865	-0.408362	0.067944	40.639216
O00321	342	36632.210400	5.880642	-0.585965	0.093567	42.490936
O00322	258	28878.531000	5.159582	0.526744	0.143411	35.821395
O00327	626	68761.010100	6.399468	-0.486422	0.063898	46.452236
O00329	1044	119477.800100	6.788588	-0.254981	0.090038	48.604119
O00330	501	54121.651800	8.803561	-0.217166	0.049900	49.736926
O00337	649	71583.229200	7.767412	0.499230	0.106317	43.757334
O00338	296	34879.695900	7.117515	-0.591216	0.111486	36.625372
O00339	956	106835.981100	5.864954	-0.413180	0.065900	42.642270
O00341	560	60657.793400	6.332910	0.495357	0.071429	36.245018
O00358	373	38075.425500	9.621987	-0.278820	0.096515	59.992815
O00391	747	82576.731300	9.128481	-0.191432	0.093708	48.049813
O00399	190	20746.806700	5.944586	-0.128947	0.042105	41.584211
O00400	549	60908.232000	6.984341	0.302368	0.125683	31.024791
O00401	505	54826.308600	8.045413	-0.835446	0.053465	68.494277
O00408	941	105715.754200	5.221423	-0.197450	0.074389	39.964623
O00409	490	53834.287900	6.188880	-0.823265	0.065306	64.401020
O00410	1097	123628.609500	4.829803	-0.133637	0.074749	44.670939
O00411	1230	138618.787400	9.192756	-0.332033	0.066667	50.180000
O00418	725	82143.189200	5.160833	-0.769103	0.086897	42.688290
O00421	344	39512.922700	7.920860	0.311628	0.139535	39.372674
O00422	153	17560.872100	9.376943	-0.769281	0.078431	42.998693
O00423	815	89859.825400	6.607158	-0.388712	0.085890	33.622209
O00425	579	63704.254000	8.987038	-0.427461	0.048359	48.684128
O00429	736	81876.179500	6.369343	-0.258967	0.042120	52.244293
O00442	366	39336.308100	8.014081	0.036066	0.054645	33.545628
O00443	1686	190677.265900	8.248681	-0.302135	0.088968	43.112936
O00444	970	108970.687900	8.794535	-0.577010	0.085567	49.289000
O00445	386	42899.942200	9.265606	-0.351295	0.077720	46.068912
O00451	464	51543.169600	8.001381	-0.355388	0.071121	58.125884
O00453	97	10792.275900	8.434544	-0.371134	0.051546	77.225773
O00459	728	81544.253300	6.025809	-0.626786	0.071429	50.372253
O00461	696	81879.323500	4.727435	-1.542241	0.043103	62.746695
O00462	879	100893.943200	5.326007	-0.235836	0.138794	41.707816
O00463	557	64405.055500	7.258589	-0.534291	0.080790	40.887989
O00468	2068	217317.503500	6.005233	-0.258414	0.048356	49.675537
O00469	737	84684.586200	6.240376	-0.358752	0.122117	37.569362
O00470	390	43015.625100	5.858304	-0.690256	0.061538	49.644615
O00471	708	81851.941400	6.274252	-0.395480	0.086158	39.195198
O00472	640	72323.502200	9.090767	-0.880156	0.060937	56.970797
O00476	420	46105.677600	8.690354	0.513810	0.111905	42.025048
O00478	584	65001.191100	5.374718	-0.283390	0.087329	43.988562
O00481	513	57676.503100	8.228890	-0.255945	0.097466	49.160273
O00482	541	61330.774800	8.084352	-0.402588	0.081331	50.089834
O00483	81	9369.740700	9.415366	-0.380247	0.135802	22.534691
O00487	310	34576.675300	6.060026	-0.174839	0.058065	41.435806
O00488	134	15198.975100	9.846595	-1.071642	0.044776	74.660448
O00499	593	64698.584600	4.974742	-0.649916	0.062395	56.030034
O00501	218	23147.212400	8.247650	0.756422	0.100917	43.943624
O00505	521	57810.226400	4.802065	-0.118618	0.055662	40.873321
O00506	426	48111.080600	6.268738	-0.540610	0.077465	47.234507
O00507	2555	291073.571700	5.555409	-0.323679	0.089237	47.856720
O00512	1426	149288.485500	8.985168	-0.691304	0.032258	67.565365
O00519	579	63065.135800	7.821901	-0.018653	0.079447	44.092573
O00522	736	84347.074400	8.630012	-0.430707	0.084239	44.600027
O00526	184	19438.002400	10.413336	0.655978	0.048913	51.037011
O00533	1208	135069.819800	5.512268	-0.475745	0.085265	42.853742
O00541	588	68001.806500	6.930969	-0.688605	0.090136	49.309048
O00548	723	78054.917300	5.849494	-0.451176	0.080221	37.973734
O00555	2506	282560.603600	8.999416	-0.478412	0.092977	51.335020
O00559	213	24377.205200	6.038768	-0.797183	0.075117	41.205634
O00560	298	32444.014900	7.057607	-0.054698	0.050336	43.958389
O00562	1244	134846.035600	5.637314	-0.314791	0.080386	52.061977
O00566	681	78862.812100	4.771486	-1.110279	0.054332	56.186637
O00567	594	66049.108900	9.244460	-0.470707	0.055556	47.160455
O00571	662	73242.557200	6.732033	-0.634290	0.093656	49.375408
O00574	342	39279.971000	8.283494	0.542690	0.149123	34.415848
O00584	256	29480.477900	6.656210	-0.582422	0.089844	45.818008
O00585	134	14645.992400	10.125098	-0.658209	0.037313	46.377612
O00587	321	36201.558500	9.014179	-0.165732	0.084112	50.532710
O00590	384	43442.330500	7.607808	0.471354	0.143229	46.526406
O00591	440	50639.623900	6.548955	0.064318	0.138636	36.592977
O00592	558	58634.596000	5.283434	-0.405556	0.023297	49.702509
O00602	326	35078.008300	6.393329	-0.424540	0.098160	22.989294
O00622	381	42026.268400	8.635040	-0.380840	0.057743	40.830735
O00623	359	40796.736500	9.210808	-0.092201	0.111421	52.947967
O00624	439	47276.316100	8.849914	0.742141	0.107062	36.433508
O00625	290	32112.981400	6.424079	-0.562069	0.075862	42.261034
O00626	93	10624.459600	8.796921	0.162366	0.086022	40.830215
O00628	323	35891.122700	5.411322	-0.094427	0.111455	43.546130
O00629	521	57886.059100	4.798427	-0.164299	0.051823	40.001344
O00631	31	3761.540300	8.343063	1.064516	0.161290	18.548387
O00635	465	53415.300300	6.607669	-0.563656	0.086022	47.845613
O00712	420	47441.334900	9.007926	-0.686667	0.083333	67.192881
O00716	465	49161.018700	5.288152	-0.332258	0.036559	56.374624
O00743	305	35143.871100	5.427010	-0.200328	0.121311	29.634164
O00744	389	43000.004600	9.368626	-0.421337	0.061697	51.604370
O00746	187	20658.346600	10.298776	-0.257754	0.080214	60.216096
O00748	559	61806.112200	5.705009	-0.087299	0.091234	47.492147
O00750	1634	184765.684700	6.945407	-0.363035	0.091187	46.219474
O00754	1011	113742.722400	6.841278	-0.296637	0.103858	37.018121
O00755	349	39004.537800	9.047122	-0.399713	0.085960	36.694269
O00757	339	36742.722800	6.836105	-0.112684	0.076696	32.573746
O00762	179	19652.068500	6.827466	-0.393296	0.089385	43.636313
O00763	2458	276537.690500	6.054342	-0.227339	0.084622	43.581208
O00764	312	35101.911200	5.746047	-0.207051	0.064103	41.094872
O00767	359	41522.146500	9.066398	-0.190529	0.150418	44.835710
O14490	977	108872.182500	6.655300	-0.779836	0.057318	59.556407
O14492	632	67737.042600	5.853927	-0.355854	0.063291	55.473592
O14493	209	22077.058800	8.379423	0.751196	0.071770	35.678517
O14494	284	32155.686400	8.098212	0.089789	0.130282	30.870458
O14495	311	35115.622300	9.309573	0.103859	0.118971	39.493023
O14497	2285	242041.979200	6.236113	-0.777549	0.058206	70.502451
O14503	412	45509.512200	8.301546	-0.577913	0.053398	58.724053
O14508	198	22172.101900	8.904389	-0.476263	0.085859	38.623232
O14511	850	91677.758700	9.510392	-0.670000	0.055294	68.513294
O14512	581	62968.114800	8.348414	-0.498623	0.061962	67.362151
O14513	1909	208534.678000	8.343579	-0.830487	0.034573	65.243112
O14514	1584	173498.886800	8.270149	-0.310354	0.074495	54.018876
O14519	115	12364.859000	9.413303	-0.453043	0.052174	60.160870
O14520	342	37231.129300	9.036679	0.401754	0.111111	37.725760
O14521	159	17042.811100	8.915671	0.494969	0.081761	33.195597
O14522	1441	162132.155700	6.444826	-0.334768	0.095767	37.333317
O14523	706	76180.392800	7.612867	-0.400142	0.039660	58.822521
O14524	444	50639.431500	6.560607	0.137613	0.117117	40.537860
O14525	1302	144911.225500	5.090296	-0.351382	0.071429	55.653233
O14526	889	96859.783900	6.507292	-0.510349	0.068616	64.535669
O14529	1486	161675.013100	5.384039	-0.673755	0.043742	67.097382
O14530	226	26533.718600	5.606223	-0.815487	0.084071	31.775265
O14531	572	61876.906500	6.636487	-0.166084	0.066434	38.603357
O14543	225	24769.807500	8.974015	-0.425778	0.084444	66.904489
O14544	535	59527.321400	6.793476	-0.565981	0.071028	58.202822
O14548	114	12614.526200	9.433417	-0.157018	0.131579	48.932456
O14556	408	44500.644600	8.385290	-0.209804	0.071078	38.993137
O14558	160	17135.370900	5.950440	-0.078750	0.062500	57.892500
O14559	1287	137211.621200	9.054923	-0.462937	0.059052	71.051049
O14561	156	17417.123600	4.816218	0.057051	0.064103	31.262179
O14569	222	23973.378500	9.930662	0.729279	0.090090	35.451802
O14576	645	72954.509900	4.996909	-0.606977	0.082171	51.444357
O14578	2027	231428.369100	6.155799	-0.655205	0.058707	58.025131
O14579	308	34481.628100	4.975253	-0.344156	0.074675	45.110097
O14593	260	28101.980000	4.445628	-0.309231	0.050000	34.693077
O14594	1321	143091.630900	5.217729	-0.537245	0.068130	54.430969
O14595	271	30663.717600	5.338341	-0.139852	0.092251	48.937675
O14607	1347	149545.928700	7.905194	-0.457238	0.077209	42.367120
O14610	69	7746.886600	6.268227	-0.776812	0.043478	25.623188
O14613	210	22483.309800	4.941491	-0.313810	0.047619	57.142857
O14617	1153	130156.504200	8.691837	-0.491761	0.052905	49.656470
O14618	274	29040.296600	5.321971	-0.305109	0.029197	34.067883
O14625	94	10364.517600	9.935174	0.123404	0.042553	35.293617
O14627	284	30479.821500	9.034229	-0.536972	0.088028	60.263380
O14628	629	72331.292700	8.451112	-0.761049	0.096979	44.172496
O14633	110	11218.878000	8.535372	-0.586364	0.009091	100.037273
O14638	875	100123.273000	6.118683	-0.378971	0.109714	52.244400
O14639	778	87686.625400	8.908902	-0.716067	0.080977	58.810938
O14640	695	75185.879800	7.694658	-0.567626	0.064748	55.000576
O14641	736	78947.044400	5.670622	-0.566576	0.063859	64.434918
O14645	258	29661.663900	8.728262	-0.817442	0.034884	60.217829
O14646	1710	196685.186700	6.680821	-1.084561	0.071930	57.531643
O14647	1828	211340.953200	8.221863	-1.140919	0.068381	58.401422
O14649	394	43517.571500	9.262834	0.040355	0.109137	47.839391
O14653	212	24775.130200	7.855747	-0.549528	0.051887	57.570755
O14654	1257	133766.046300	8.721428	-0.663644	0.066030	60.827693
O14656	332	37808.268600	6.512464	-0.025301	0.120482	37.725301
O14657	336	37978.468400	8.757853	-0.085714	0.107143	21.950893
O14662	325	37030.780700	5.746047	-0.373846	0.043077	53.942769
O14669	202	22393.104000	5.215114	-0.413366	0.084158	60.400000
O14672	748	84141.269800	8.035291	-0.598930	0.089572	37.820201
O14678	606	68596.521900	6.123913	0.051320	0.108911	34.854488
O14681	340	38964.239500	9.750537	0.294118	0.141176	56.670324
O14682	589	66129.119900	6.396740	-0.150085	0.093379	40.974873
O14684	152	17102.134600	9.586594	0.402632	0.111842	55.280263
