pdb_id	uniprot_id	experimental_method	resolution	release_date	ligand_count	source	fetch_date
8TQW	A0JLT2	ELECTRON MICROSCOPY	8.2	2024-10-09	1	RCSB_DATA_API	2026-04-11
8TRH	A0JLT2	ELECTRON MICROSCOPY	3.7	2024-10-09	1	RCSB_DATA_API	2026-04-11
7F73	A0PK00	ELECTRON MICROSCOPY	4	2021-09-01	0	RCSB_DATA_API	2026-04-11
2MIO	A1A4S6	SOLUTION NMR		2014-01-01	0	RCSB_DATA_API	2026-04-11
6H86	A1L190	X-RAY DIFFRACTION	1.901	2019-05-08	0	RCSB_DATA_API	2026-04-11
6Y7F	A1L3X0	X-RAY DIFFRACTION	2.052	2020-05-13	3	RCSB_DATA_API	2026-04-11
8CEG	A1XBS5	X-RAY DIFFRACTION	2.03	2024-02-21	0	RCSB_DATA_API	2026-04-11
4IQY	A1Z1Q3	X-RAY DIFFRACTION	1.55	2013-03-06	2	RCSB_DATA_API	2026-04-11
6Y4Y	A1Z1Q3	X-RAY DIFFRACTION	1.75	2020-09-30	1	RCSB_DATA_API	2026-04-11
6Y4Z	A1Z1Q3	X-RAY DIFFRACTION	1.9	2020-09-30	1	RCSB_DATA_API	2026-04-11
6Y73	A1Z1Q3	X-RAY DIFFRACTION	1.7	2020-09-30	3	RCSB_DATA_API	2026-04-11
3AL5	A2RUC4	X-RAY DIFFRACTION	2.503	2010-11-24	1	RCSB_DATA_API	2026-04-11
3AL6	A2RUC4	X-RAY DIFFRACTION	2.8	2010-12-01	2	RCSB_DATA_API	2026-04-11
4CVH	A4D126	X-RAY DIFFRACTION	2.39	2015-02-04	3	RCSB_DATA_API	2026-04-11
7OI6	A4D1E9	ELECTRON MICROSCOPY	5.7	2021-10-13	3	RCSB_DATA_API	2026-04-11
8PK0	A4D1E9	ELECTRON MICROSCOPY	3.03	2023-12-13	6	RCSB_DATA_API	2026-04-11
6VYC	A4D1P6	X-RAY DIFFRACTION	2.1	2020-03-25	1	RCSB_DATA_API	2026-04-11
8KB8	A4D1P6	X-RAY DIFFRACTION	2.49	2024-08-07	2	RCSB_DATA_API	2026-04-11
8KB9	A4D1P6	X-RAY DIFFRACTION	1.9	2024-08-07	0	RCSB_DATA_API	2026-04-11
8SHJ	A4D1P6	X-RAY DIFFRACTION	2.21	2023-07-05	1	RCSB_DATA_API	2026-04-11
8T55	A4D1P6	X-RAY DIFFRACTION	2.2	2023-07-05	2	RCSB_DATA_API	2026-04-11
9DTA	A4D1P6	X-RAY DIFFRACTION	2.1	2024-10-16	1	RCSB_DATA_API	2026-04-11
9DTB	A4D1P6	X-RAY DIFFRACTION	2.31	2024-10-16	2	RCSB_DATA_API	2026-04-11
9EJO	A4D1P6	X-RAY DIFFRACTION	2.4	2025-02-26	2	RCSB_DATA_API	2026-04-11
9EJP	A4D1P6	X-RAY DIFFRACTION	2.22	2025-02-26	2	RCSB_DATA_API	2026-04-11
9MK7	A4D1P6	X-RAY DIFFRACTION	2.31	2025-02-26	2	RCSB_DATA_API	2026-04-11
4V0H	A4D2B0	X-RAY DIFFRACTION	1.79	2016-01-13	2	RCSB_DATA_API	2026-04-11
7F6L	A4GXA9	X-RAY DIFFRACTION	3.2	2022-03-02	0	RCSB_DATA_API	2026-04-11
4F14	A4UGR9	X-RAY DIFFRACTION	1.2	2012-06-20	1	RCSB_DATA_API	2026-04-11
8J07	A5D8V7	ELECTRON MICROSCOPY	4.1	2023-07-26	3	RCSB_DATA_API	2026-04-11
4C0D	A5YKK6	X-RAY DIFFRACTION	3.2	2013-10-09	0	RCSB_DATA_API	2026-04-11
4CQO	A5YKK6	X-RAY DIFFRACTION	2.8	2014-04-23	0	RCSB_DATA_API	2026-04-11
4CRU	A5YKK6	X-RAY DIFFRACTION	1.65	2014-05-07	1	RCSB_DATA_API	2026-04-11
4CRV	A5YKK6	X-RAY DIFFRACTION	2.05	2014-05-07	2	RCSB_DATA_API	2026-04-11
4CRW	A5YKK6	X-RAY DIFFRACTION	1.75	2014-05-07	1	RCSB_DATA_API	2026-04-11
4CT4	A5YKK6	X-RAY DIFFRACTION	2.3	2014-05-07	2	RCSB_DATA_API	2026-04-11
4CT6	A5YKK6	X-RAY DIFFRACTION	2.099	2014-05-07	0	RCSB_DATA_API	2026-04-11
4CT7	A5YKK6	X-RAY DIFFRACTION	1.897	2014-05-07	2	RCSB_DATA_API	2026-04-11
4GMJ	A5YKK6	X-RAY DIFFRACTION	2.7	2012-10-03	3	RCSB_DATA_API	2026-04-11
4GML	A5YKK6	X-RAY DIFFRACTION	2.9	2012-10-03	0	RCSB_DATA_API	2026-04-11
4J8S	A5YKK6	X-RAY DIFFRACTION	1.55	2013-05-08	0	RCSB_DATA_API	2026-04-11
5ANR	A5YKK6	X-RAY DIFFRACTION	2.102	2015-10-21	0	RCSB_DATA_API	2026-04-11
5FU6	A5YKK6	X-RAY DIFFRACTION	2.9	2016-03-23	0	RCSB_DATA_API	2026-04-11
5FU7	A5YKK6	X-RAY DIFFRACTION	3.1	2016-03-23	0	RCSB_DATA_API	2026-04-11
5ONA	A5YKK6	X-RAY DIFFRACTION	2.7	2017-12-27	2	RCSB_DATA_API	2026-04-11
7VOI	A5YKK6	X-RAY DIFFRACTION	4.38	2022-06-01	0	RCSB_DATA_API	2026-04-11
8BFI	A5YKK6	X-RAY DIFFRACTION	3	2022-12-28	0	RCSB_DATA_API	2026-04-11
8FY3	A5YKK6	ELECTRON MICROSCOPY	2.88	2023-07-26	0	RCSB_DATA_API	2026-04-11
9FL8	A5YKK6	X-RAY DIFFRACTION	2.64	2025-01-29	1	RCSB_DATA_API	2026-04-11
5N9G	A6H8Y1	X-RAY DIFFRACTION	2.7	2017-06-14	1	RCSB_DATA_API	2026-04-11
8ITY	A6H8Y1	ELECTRON MICROSCOPY	3.9	2023-06-07	3	RCSB_DATA_API	2026-04-11
8IUE	A6H8Y1	ELECTRON MICROSCOPY	4.1	2023-05-24	3	RCSB_DATA_API	2026-04-11
8IUH	A6H8Y1	ELECTRON MICROSCOPY	3.4	2023-05-24	3	RCSB_DATA_API	2026-04-11
9FSO	A6H8Y1	ELECTRON MICROSCOPY	3.28	2025-01-15	3	RCSB_DATA_API	2026-04-11
9FSP	A6H8Y1	ELECTRON MICROSCOPY	3.39	2025-01-15	3	RCSB_DATA_API	2026-04-11
9FSQ	A6H8Y1	ELECTRON MICROSCOPY	3.51	2025-01-15	3	RCSB_DATA_API	2026-04-11
9FSR	A6H8Y1	ELECTRON MICROSCOPY	3.76	2025-01-15	3	RCSB_DATA_API	2026-04-11
9FSS	A6H8Y1	ELECTRON MICROSCOPY	4.14	2025-01-15	3	RCSB_DATA_API	2026-04-11
5F4E	A6ND01	X-RAY DIFFRACTION	2.4	2016-06-15	3	RCSB_DATA_API	2026-04-11
5F4Q	A6ND01	X-RAY DIFFRACTION	1.8	2016-06-15	3	RCSB_DATA_API	2026-04-11
5JKA	A6ND01	X-RAY DIFFRACTION	2	2016-06-22	1	RCSB_DATA_API	2026-04-11
5JKB	A6ND01	X-RAY DIFFRACTION	3.23	2016-06-22	1	RCSB_DATA_API	2026-04-11
5JKC	A6ND01	X-RAY DIFFRACTION	2.9	2016-06-22	2	RCSB_DATA_API	2026-04-11
5JKD	A6ND01	X-RAY DIFFRACTION	2.9	2016-06-22	2	RCSB_DATA_API	2026-04-11
5JKE	A6ND01	X-RAY DIFFRACTION	2.86	2016-06-22	3	RCSB_DATA_API	2026-04-11
6F4R	A6NED2	X-RAY DIFFRACTION	1.3	2018-04-04	3	RCSB_DATA_API	2026-04-11
6F4S	A6NED2	X-RAY DIFFRACTION	1.461	2018-04-04	4	RCSB_DATA_API	2026-04-11
6F4T	A6NED2	X-RAY DIFFRACTION	1.22	2018-04-04	4	RCSB_DATA_API	2026-04-11
7LXF	A6NGG8	X-RAY DIFFRACTION	1.65	2021-11-24	0	RCSB_DATA_API	2026-04-11
8X7V	A6NGQ2	ELECTRON MICROSCOPY	3.01	2024-10-09	0	RCSB_DATA_API	2026-04-11
8X7W	A6NGQ2	ELECTRON MICROSCOPY	3.36	2024-10-09	0	RCSB_DATA_API	2026-04-11
6MW7	A6NHR9	X-RAY DIFFRACTION	2.194	2019-09-11	4	RCSB_DATA_API	2026-04-11
2D3V	A6NI73	X-RAY DIFFRACTION	1.85	2006-06-06	0	RCSB_DATA_API	2026-04-11
7OK6	A6NIH7	X-RAY DIFFRACTION	1.949	2021-06-09	3	RCSB_DATA_API	2026-04-11
7OK7	A6NIH7	X-RAY DIFFRACTION	3.15	2021-06-09	5	RCSB_DATA_API	2026-04-11
7PNX	A6NJ78	ELECTRON MICROSCOPY	2.76	2022-06-15	8	RCSB_DATA_API	2026-04-11
7PNY	A6NJ78	ELECTRON MICROSCOPY	3.06	2022-06-15	8	RCSB_DATA_API	2026-04-11
7PNZ	A6NJ78	ELECTRON MICROSCOPY	3.09	2022-06-15	8	RCSB_DATA_API	2026-04-11
8IPI	A6NJ78	X-RAY DIFFRACTION	2.1	2024-01-03	0	RCSB_DATA_API	2026-04-11
8IPK	A6NJ78	X-RAY DIFFRACTION	1.9	2024-01-03	2	RCSB_DATA_API	2026-04-11
8IPL	A6NJ78	X-RAY DIFFRACTION	2.2	2024-01-03	1	RCSB_DATA_API	2026-04-11
8IPM	A6NJ78	X-RAY DIFFRACTION	3.1	2024-01-03	1	RCSB_DATA_API	2026-04-11
8QRL	A6NJ78	ELECTRON MICROSCOPY	3.34	2024-06-26	8	RCSB_DATA_API	2026-04-11
6R6U	A6NK06	X-RAY DIFFRACTION	1.705	2019-09-25	2	RCSB_DATA_API	2026-04-11
3IUG	A7KAX9	X-RAY DIFFRACTION	1.77	2009-09-29	1	RCSB_DATA_API	2026-04-11
7Q1Y	A8K2U0	X-RAY DIFFRACTION	4.4	2022-04-20	1	RCSB_DATA_API	2026-04-11
7Q5Z	A8K2U0	ELECTRON MICROSCOPY	3.25	2022-04-20	0	RCSB_DATA_API	2026-04-11
7Q60	A8K2U0	ELECTRON MICROSCOPY	3.13	2022-04-20	0	RCSB_DATA_API	2026-04-11
7Q61	A8K2U0	ELECTRON MICROSCOPY	2.88	2022-04-20	1	RCSB_DATA_API	2026-04-11
7Q62	A8K2U0	ELECTRON MICROSCOPY	3.18	2022-04-20	1	RCSB_DATA_API	2026-04-11
6PYO	A8K7I4	X-RAY DIFFRACTION	2	2020-01-29	1	RCSB_DATA_API	2026-04-11
6PYX	A8K7I4	X-RAY DIFFRACTION	2.6	2020-01-29	1	RCSB_DATA_API	2026-04-11
2K2I	A8K8P3	SOLUTION NMR		2009-02-17	0	RCSB_DATA_API	2026-04-11
4DRA	A8MT69	X-RAY DIFFRACTION	2.414	2012-05-16	0	RCSB_DATA_API	2026-04-11
4DRB	A8MT69	X-RAY DIFFRACTION	2.634	2012-05-16	0	RCSB_DATA_API	2026-04-11
4E44	A8MT69	X-RAY DIFFRACTION	2.1	2013-03-20	0	RCSB_DATA_API	2026-04-11
4E45	A8MT69	X-RAY DIFFRACTION	2	2013-03-20	2	RCSB_DATA_API	2026-04-11
4NDY	A8MT69	X-RAY DIFFRACTION	6.999	2014-01-22	0	RCSB_DATA_API	2026-04-11
4NE1	A8MT69	X-RAY DIFFRACTION	6.499	2014-01-22	0	RCSB_DATA_API	2026-04-11
4NE3	A8MT69	X-RAY DIFFRACTION	1.801	2013-12-25	0	RCSB_DATA_API	2026-04-11
4NE5	A8MT69	X-RAY DIFFRACTION	2.5	2013-12-25	0	RCSB_DATA_API	2026-04-11
4NE6	A8MT69	X-RAY DIFFRACTION	2.1	2013-12-25	0	RCSB_DATA_API	2026-04-11
7R5S	A8MT69	ELECTRON MICROSCOPY	2.83	2022-04-27	0	RCSB_DATA_API	2026-04-11
7XHN	A8MT69	ELECTRON MICROSCOPY	3.71	2023-01-25	0	RCSB_DATA_API	2026-04-11
7XHO	A8MT69	ELECTRON MICROSCOPY	3.29	2022-12-14	0	RCSB_DATA_API	2026-04-11
7YWX	A8MT69	ELECTRON MICROSCOPY	12	2022-05-18	0	RCSB_DATA_API	2026-04-11
7UNG	A8MTA8	ELECTRON MICROSCOPY	3.6	2022-10-05	3	RCSB_DATA_API	2026-04-11
8J07	A8MTA8	ELECTRON MICROSCOPY	4.1	2023-07-26	3	RCSB_DATA_API	2026-04-11
8RQL	A8MTJ3	ELECTRON MICROSCOPY	3.03	2024-11-27	1	RCSB_DATA_API	2026-04-11
8VY9	A8MTJ3	ELECTRON MICROSCOPY	2.88	2024-04-03	2	RCSB_DATA_API	2026-04-11
8XQP	A8MTJ3	ELECTRON MICROSCOPY	3.29	2024-07-10	2	RCSB_DATA_API	2026-04-11
8YKY	A8MTJ3	ELECTRON MICROSCOPY	2.99	2024-07-10	2	RCSB_DATA_API	2026-04-11
6XT9	A8MTZ0	ELECTRON MICROSCOPY	3.8	2020-01-29	0	RCSB_DATA_API	2026-04-11
2EQM	A8MW92	SOLUTION NMR		2007-10-02	0	RCSB_DATA_API	2026-04-11
2EQU	A8MW92	SOLUTION NMR		2007-10-02	0	RCSB_DATA_API	2026-04-11
2JTF	A8MW92	SOLUTION NMR		2008-08-19	0	RCSB_DATA_API	2026-04-11
6L0X	A8MW92	X-RAY DIFFRACTION	1.3	2020-09-23	2	RCSB_DATA_API	2026-04-11
6L10	A8MW92	X-RAY DIFFRACTION	1.6	2020-09-23	2	RCSB_DATA_API	2026-04-11
6L1C	A8MW92	X-RAY DIFFRACTION	1.58	2020-09-23	2	RCSB_DATA_API	2026-04-11
6L1F	A8MW92	X-RAY DIFFRACTION	1.9	2020-09-23	0	RCSB_DATA_API	2026-04-11
6L1I	A8MW92	X-RAY DIFFRACTION	1.849	2020-09-23	1	RCSB_DATA_API	2026-04-11
6L1P	A8MW92	X-RAY DIFFRACTION	1.231	2020-09-23	3	RCSB_DATA_API	2026-04-11
5K7B	A8MW95	X-RAY DIFFRACTION	2.3	2017-03-08	0	RCSB_DATA_API	2026-04-11
5K9L	A8MW95	X-RAY DIFFRACTION	2.52	2017-03-08	0	RCSB_DATA_API	2026-04-11
8GT9	A8MW95	X-RAY DIFFRACTION	2	2023-07-26	0	RCSB_DATA_API	2026-04-11
8GU7	A8MW95	X-RAY DIFFRACTION	2.6	2023-07-26	0	RCSB_DATA_API	2026-04-11
4HPF	A8MYU2	X-RAY DIFFRACTION	3.4	2012-11-07	0	RCSB_DATA_API	2026-04-11
5Y7Y	A9YTQ3	X-RAY DIFFRACTION	2.4	2017-09-20	1	RCSB_DATA_API	2026-04-11
2W2I	B2RXH2	X-RAY DIFFRACTION	2.1	2009-01-20	3	RCSB_DATA_API	2026-04-11
4IOP	D3W0D1	X-RAY DIFFRACTION	3.2	2013-07-17	0	RCSB_DATA_API	2026-04-11
4BRY	D6RGH6	X-RAY DIFFRACTION	2.89	2013-10-02	2	RCSB_DATA_API	2026-04-11
9BPU	K9M1U5	ELECTRON MICROSCOPY	3.26	2025-01-29	0	RCSB_DATA_API	2026-04-11
2GRY	O00139	X-RAY DIFFRACTION	2.35	2006-05-09	3	RCSB_DATA_API	2026-04-11
6BBN	O00139	X-RAY DIFFRACTION	3.514	2018-05-23	5	RCSB_DATA_API	2026-04-11
2R5T	O00141	X-RAY DIFFRACTION	1.9	2008-09-09	3	RCSB_DATA_API	2026-04-11
3HDM	O00141	X-RAY DIFFRACTION	2.6	2009-06-30	1	RCSB_DATA_API	2026-04-11
3HDN	O00141	X-RAY DIFFRACTION	3.1	2009-06-30	1	RCSB_DATA_API	2026-04-11
7PUE	O00141	X-RAY DIFFRACTION	2.506	2021-12-01	2	RCSB_DATA_API	2026-04-11
8IJU	O00148	X-RAY DIFFRACTION	1.82	2024-01-24	3	RCSB_DATA_API	2026-04-11
1X62	O00151	SOLUTION NMR		2005-11-17	1	RCSB_DATA_API	2026-04-11
2PKT	O00151	X-RAY DIFFRACTION	1.5	2007-05-08	5	RCSB_DATA_API	2026-04-11
2QQ2	O00154	X-RAY DIFFRACTION	2.8	2007-08-14	0	RCSB_DATA_API	2026-04-11
4BYF	O00159	X-RAY DIFFRACTION	2.74	2014-03-26	2	RCSB_DATA_API	2026-04-11
1NHL	O00161	X-RAY DIFFRACTION	2.3	2003-04-15	0	RCSB_DATA_API	2026-04-11
3ZUS	O00161	X-RAY DIFFRACTION	2.95	2011-12-07	1	RCSB_DATA_API	2026-04-11
3GEB	O00167	X-RAY DIFFRACTION	2.4	2009-04-07	1	RCSB_DATA_API	2026-04-11
3HB0	O00167	X-RAY DIFFRACTION	2.5	2009-12-01	2	RCSB_DATA_API	2026-04-11
3HB1	O00167	X-RAY DIFFRACTION	2.51	2009-12-01	2	RCSB_DATA_API	2026-04-11
4EGC	O00167	X-RAY DIFFRACTION	1.994	2013-02-27	1	RCSB_DATA_API	2026-04-11
5ZMA	O00167	X-RAY DIFFRACTION	3.175	2019-06-05	1	RCSB_DATA_API	2026-04-11
7F8G	O00167	X-RAY DIFFRACTION	3.491	2021-12-29	1	RCSB_DATA_API	2026-04-11
7F8H	O00167	X-RAY DIFFRACTION	3.3	2021-12-29	1	RCSB_DATA_API	2026-04-11
2JO1	O00168	SOLUTION NMR		2007-07-31	0	RCSB_DATA_API	2026-04-11
2LKN	O00170	SOLUTION NMR		2012-10-17	0	RCSB_DATA_API	2026-04-11
4AIF	O00170	X-RAY DIFFRACTION	2.006	2013-01-23	1	RCSB_DATA_API	2026-04-11
4APO	O00170	X-RAY DIFFRACTION	1.895	2013-01-23	2	RCSB_DATA_API	2026-04-11
7ZUB	O00170	ELECTRON MICROSCOPY	2.85	2022-11-23	4	RCSB_DATA_API	2026-04-11
8QMO	O00170	ELECTRON MICROSCOPY	2.76	2024-01-10	4	RCSB_DATA_API	2026-04-11
1EIG	O00175	SOLUTION NMR		2000-12-06	0	RCSB_DATA_API	2026-04-11
1EIH	O00175	SOLUTION NMR		2000-12-06	0	RCSB_DATA_API	2026-04-11
3UKM	O00180	X-RAY DIFFRACTION	3.4	2012-02-08	2	RCSB_DATA_API	2026-04-11
2EAK	O00182	X-RAY DIFFRACTION	1.97	2007-09-25	2	RCSB_DATA_API	2026-04-11
2EAL	O00182	X-RAY DIFFRACTION	1.85	2007-09-25	0	RCSB_DATA_API	2026-04-11
2YY1	O00182	X-RAY DIFFRACTION	2.17	2008-04-29	0	RCSB_DATA_API	2026-04-11
2ZHK	O00182	X-RAY DIFFRACTION	1.8	2008-12-30	0	RCSB_DATA_API	2026-04-11
2ZHL	O00182	X-RAY DIFFRACTION	1.75	2008-12-30	0	RCSB_DATA_API	2026-04-11
2ZHM	O00182	X-RAY DIFFRACTION	1.84	2008-12-30	1	RCSB_DATA_API	2026-04-11
2ZHN	O00182	X-RAY DIFFRACTION	1.3	2008-12-30	1	RCSB_DATA_API	2026-04-11
3LSD	O00182	X-RAY DIFFRACTION	2.03	2010-05-05	0	RCSB_DATA_API	2026-04-11
3LSE	O00182	X-RAY DIFFRACTION	2.69	2010-05-05	0	RCSB_DATA_API	2026-04-11
3NV1	O00182	X-RAY DIFFRACTION	1.5	2010-09-22	1	RCSB_DATA_API	2026-04-11
3NV2	O00182	X-RAY DIFFRACTION	2.34	2010-09-22	1	RCSB_DATA_API	2026-04-11
3NV3	O00182	X-RAY DIFFRACTION	1.57	2010-09-22	1	RCSB_DATA_API	2026-04-11
3NV4	O00182	X-RAY DIFFRACTION	1.99	2010-09-22	1	RCSB_DATA_API	2026-04-11
3WLU	O00182	X-RAY DIFFRACTION	1.4	2014-11-05	1	RCSB_DATA_API	2026-04-11
3WV6	O00182	X-RAY DIFFRACTION	1.95	2015-05-20	2	RCSB_DATA_API	2026-04-11
1Q3X	O00187	X-RAY DIFFRACTION	2.23	2004-08-03	2	RCSB_DATA_API	2026-04-11
1SZB	O00187	X-RAY DIFFRACTION	2.5	2004-06-22	1	RCSB_DATA_API	2026-04-11
1ZJK	O00187	X-RAY DIFFRACTION	2.18	2005-07-26	0	RCSB_DATA_API	2026-04-11
3TVJ	O00187	X-RAY DIFFRACTION	1.28	2012-04-25	1	RCSB_DATA_API	2026-04-11
5JPM	O00187	X-RAY DIFFRACTION	3.75	2016-08-10	0	RCSB_DATA_API	2026-04-11
3L81	O00189	X-RAY DIFFRACTION	1.6	2010-06-02	1	RCSB_DATA_API	2026-04-11
4MDR	O00189	X-RAY DIFFRACTION	1.85	2014-03-12	0	RCSB_DATA_API	2026-04-11
2F7S	O00194	X-RAY DIFFRACTION	2.7	2005-12-20	2	RCSB_DATA_API	2026-04-11
2L58	O00198	SOLUTION NMR		2011-09-14	0	RCSB_DATA_API	2026-04-11
2L5B	O00198	SOLUTION NMR		2011-09-14	0	RCSB_DATA_API	2026-04-11
6XY4	O00198	X-RAY DIFFRACTION	2.046	2020-07-29	0	RCSB_DATA_API	2026-04-11
7P0U	O00198	X-RAY DIFFRACTION	1.994	2022-07-13	2	RCSB_DATA_API	2026-04-11
9C58	O00203	ELECTRON MICROSCOPY	4.7	2024-12-18	2	RCSB_DATA_API	2026-04-11
9C59	O00203	ELECTRON MICROSCOPY	4.3	2024-12-18	2	RCSB_DATA_API	2026-04-11
9C5A	O00203	ELECTRON MICROSCOPY	4.2	2024-12-18	2	RCSB_DATA_API	2026-04-11
9C5B	O00203	ELECTRON MICROSCOPY	4.5	2024-12-18	2	RCSB_DATA_API	2026-04-11
9C5C	O00203	ELECTRON MICROSCOPY	3.6	2024-12-18	0	RCSB_DATA_API	2026-04-11
1Q1Q	O00204	X-RAY DIFFRACTION	2.91	2003-11-11	3	RCSB_DATA_API	2026-04-11
1Q1Z	O00204	X-RAY DIFFRACTION	2.4	2003-11-11	2	RCSB_DATA_API	2026-04-11
1Q20	O00204	X-RAY DIFFRACTION	2.3	2003-11-11	3	RCSB_DATA_API	2026-04-11
1Q22	O00204	X-RAY DIFFRACTION	2.5	2003-11-11	3	RCSB_DATA_API	2026-04-11
2Z62	O00206	X-RAY DIFFRACTION	1.7	2007-09-18	0	RCSB_DATA_API	2026-04-11
2Z63	O00206	X-RAY DIFFRACTION	2	2007-09-18	0	RCSB_DATA_API	2026-04-11
2Z65	O00206	X-RAY DIFFRACTION	2.7	2007-09-18	2	RCSB_DATA_API	2026-04-11
2Z66	O00206	X-RAY DIFFRACTION	1.9	2007-09-18	1	RCSB_DATA_API	2026-04-11
3FXI	O00206	X-RAY DIFFRACTION	3.1	2009-03-03	6	RCSB_DATA_API	2026-04-11
3UL7	O00206	X-RAY DIFFRACTION	2.37	2012-04-04	3	RCSB_DATA_API	2026-04-11
3UL8	O00206	X-RAY DIFFRACTION	2.5	2012-04-04	3	RCSB_DATA_API	2026-04-11
3UL9	O00206	X-RAY DIFFRACTION	2.45	2012-05-23	3	RCSB_DATA_API	2026-04-11
3ULA	O00206	X-RAY DIFFRACTION	3.6	2012-04-04	2	RCSB_DATA_API	2026-04-11
4G8A	O00206	X-RAY DIFFRACTION	2.4	2012-10-17	6	RCSB_DATA_API	2026-04-11
5NAM	O00206	SOLUTION NMR		2017-09-06	0	RCSB_DATA_API	2026-04-11
5NAO	O00206	SOLUTION NMR		2018-03-21	0	RCSB_DATA_API	2026-04-11
8WO1	O00206	ELECTRON MICROSCOPY	2.24	2024-10-09	6	RCSB_DATA_API	2026-04-11
8WTA	O00206	ELECTRON MICROSCOPY	2.9	2024-10-23	5	RCSB_DATA_API	2026-04-11
2J1L	O00212	X-RAY DIFFRACTION	2.5	2006-09-18	2	RCSB_DATA_API	2026-04-11
7KDC	O00212	X-RAY DIFFRACTION	3.1	2021-07-28	2	RCSB_DATA_API	2026-04-11
2E45	O00213	SOLUTION NMR		2006-12-26	0	RCSB_DATA_API	2026-04-11
2HO2	O00213	X-RAY DIFFRACTION	1.33	2007-07-10	1	RCSB_DATA_API	2026-04-11
2IDH	O00213	X-RAY DIFFRACTION	2.28	2007-07-10	2	RCSB_DATA_API	2026-04-11
2OEI	O00213	X-RAY DIFFRACTION	1.35	2007-07-10	0	RCSB_DATA_API	2026-04-11
3D8D	O00213	X-RAY DIFFRACTION	2.2	2008-06-10	2	RCSB_DATA_API	2026-04-11
3D8E	O00213	X-RAY DIFFRACTION	2.8	2008-06-10	0	RCSB_DATA_API	2026-04-11
3D8F	O00213	X-RAY DIFFRACTION	2.7	2008-06-10	1	RCSB_DATA_API	2026-04-11
3DXC	O00213	X-RAY DIFFRACTION	2.1	2008-09-16	0	RCSB_DATA_API	2026-04-11
3DXD	O00213	X-RAY DIFFRACTION	2.2	2008-09-16	0	RCSB_DATA_API	2026-04-11
3DXE	O00213	X-RAY DIFFRACTION	2	2008-09-16	0	RCSB_DATA_API	2026-04-11
5NQH	O00213	X-RAY DIFFRACTION	2.6	2017-05-03	2	RCSB_DATA_API	2026-04-11
2YRO	O00214	SOLUTION NMR		2008-02-12	0	RCSB_DATA_API	2026-04-11
2YV8	O00214	X-RAY DIFFRACTION	1.92	2008-04-15	0	RCSB_DATA_API	2026-04-11
2YXS	O00214	X-RAY DIFFRACTION	2.13	2008-05-06	0	RCSB_DATA_API	2026-04-11
3AP4	O00214	X-RAY DIFFRACTION	2.33	2011-01-26	0	RCSB_DATA_API	2026-04-11
3AP5	O00214	X-RAY DIFFRACTION	1.92	2011-01-26	0	RCSB_DATA_API	2026-04-11
3AP6	O00214	X-RAY DIFFRACTION	1.58	2011-01-26	1	RCSB_DATA_API	2026-04-11
3AP7	O00214	X-RAY DIFFRACTION	1.53	2011-01-26	1	RCSB_DATA_API	2026-04-11
3AP9	O00214	X-RAY DIFFRACTION	1.33	2011-02-02	2	RCSB_DATA_API	2026-04-11
3APB	O00214	X-RAY DIFFRACTION	1.95	2011-01-26	1	RCSB_DATA_API	2026-04-11
3OJB	O00214	X-RAY DIFFRACTION	3.01	2011-09-07	0	RCSB_DATA_API	2026-04-11
