isoform_record_id	canonical_uniprot_id	isoform_uniprot_id	boundary_class	boundary_reason	mapping_scope	relation_type	event_types	named_isoforms_declared	isoform_name_token	isoform_synonyms	isoid_raw	sequence_status_raw	sequence_status_class	is_displayed_sequence	isoform_block_raw	source	source_version	fetch_date
A0A1B0GTW7|A0A1B0GTW7-1	A0A1B0GTW7	A0A1B0GTW7-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	3	1		A0A1B0GTW7-1	Displayed	displayed	TRUE	Name=1; IsoId=A0A1B0GTW7-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A1B0GTW7|A0A1B0GTW7-2	A0A1B0GTW7	A0A1B0GTW7-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	3	2		A0A1B0GTW7-2	VSP_061525	variant_vsp	FALSE	Name=2; IsoId=A0A1B0GTW7-2; Sequence=VSP_061525;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A1B0GTW7|A0A1B0GTW7-3	A0A1B0GTW7	A0A1B0GTW7-3	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	3	3		A0A1B0GTW7-3	VSP_061523, VSP_061524, VSP_061526	variant_vsp	FALSE	Name=3; IsoId=A0A1B0GTW7-3; Sequence=VSP_061523, VSP_061524, VSP_061526;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A1B0GVB3|A0A1B0GVB3-1	A0A1B0GVB3	A0A1B0GVB3-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	2	1		A0A1B0GVB3-1	Displayed	displayed	TRUE	Name=1; IsoId=A0A1B0GVB3-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A1B0GVB3|A0A1B0GVB3-2	A0A1B0GVB3	A0A1B0GVB3-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	2	2		A0A1B0GVB3-2	VSP_062342	variant_vsp	FALSE	Name=2; IsoId=A0A1B0GVB3-2; Sequence=VSP_062342;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A1B0GVQ0|A0A1B0GVQ0-1	A0A1B0GVQ0	A0A1B0GVQ0-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative initiation	2	1 {ECO:0000305|PubMed:28024296}		A0A1B0GVQ0-1	Displayed	displayed	TRUE	Name=1 {ECO:0000305|PubMed:28024296}; IsoId=A0A1B0GVQ0-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A1B0GVQ0|A0A1B0GVQ0-2	A0A1B0GVQ0	A0A1B0GVQ0-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative initiation	2	2 {ECO:0000305|PubMed:28024296}		A0A1B0GVQ0-2	VSP_058780	variant_vsp	FALSE	Name=2 {ECO:0000305|PubMed:28024296}; IsoId=A0A1B0GVQ0-2; Sequence=VSP_058780;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A1B0GVS7|A0A1B0GVS7-1	A0A1B0GVS7	A0A1B0GVS7-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	2	1		A0A1B0GVS7-1	Displayed	displayed	TRUE	Name=1; IsoId=A0A1B0GVS7-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A1B0GVS7|A0A1B0GVS7-2	A0A1B0GVS7	A0A1B0GVS7-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	2	2		A0A1B0GVS7-2	VSP_059068	variant_vsp	FALSE	Name=2; IsoId=A0A1B0GVS7-2; Sequence=VSP_059068;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AUZ9|A0AUZ9-1	A0AUZ9	A0AUZ9-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	4	1		A0AUZ9-1	Displayed	displayed	TRUE	Name=1; IsoId=A0AUZ9-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AUZ9|A0AUZ9-2	A0AUZ9	A0AUZ9-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	4	2		A0AUZ9-2	VSP_031499	variant_vsp	FALSE	Name=2; IsoId=A0AUZ9-2; Sequence=VSP_031499;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AUZ9|A0AUZ9-3	A0AUZ9	A0AUZ9-3	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	4	3		A0AUZ9-3	VSP_031500, VSP_031501	variant_vsp	FALSE	Name=3; IsoId=A0AUZ9-3; Sequence=VSP_031500, VSP_031501;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AUZ9|A0AUZ9-4	A0AUZ9	A0AUZ9-4	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	4	4		A0AUZ9-4	VSP_031497, VSP_031498	variant_vsp	FALSE	Name=4; IsoId=A0AUZ9-4; Sequence=VSP_031497, VSP_031498;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AV02|A0AV02-1	A0AV02	A0AV02-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	5	1		A0AV02-1	Displayed	displayed	TRUE	Name=1; IsoId=A0AV02-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AV02|A0AV02-2	A0AV02	A0AV02-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	5	2		A0AV02-2	VSP_028330	variant_vsp	FALSE	Name=2; IsoId=A0AV02-2; Sequence=VSP_028330;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AV02|A0AV02-3	A0AV02	A0AV02-3	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	5	3		A0AV02-3	VSP_028329, VSP_028331	variant_vsp	FALSE	Name=3; IsoId=A0AV02-3; Sequence=VSP_028329, VSP_028331;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AV02|A0AV02-4	A0AV02	A0AV02-4	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	5	4		A0AV02-4	VSP_028328, VSP_028332	variant_vsp	FALSE	Name=4; IsoId=A0AV02-4; Sequence=VSP_028328, VSP_028332;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AV02|A0AV02-5	A0AV02	A0AV02-5	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	5	5		A0AV02-5	VSP_028327	variant_vsp	FALSE	Name=5; IsoId=A0AV02-5; Sequence=VSP_028327;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AV96|A0AV96-1	A0AV96	A0AV96-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	2	1	h-isoform a {ECO:0000303|PubMed:24038582}	A0AV96-1	Displayed	displayed	TRUE	Name=1; Synonyms=h-isoform a {ECO:0000303|PubMed:24038582}; IsoId=A0AV96-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AV96|A0AV96-2	A0AV96	A0AV96-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	2	2	h-isoform b {ECO:0000303|PubMed:24038582}	A0AV96-2	VSP_028839	variant_vsp	FALSE	Name=2; Synonyms=h-isoform b {ECO:0000303|PubMed:24038582}; IsoId=A0AV96-2; Sequence=VSP_028839;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVF1|A0AVF1-1	A0AVF1	A0AVF1-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	3	1		A0AVF1-1	Displayed	displayed	TRUE	Name=1; IsoId=A0AVF1-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVF1|A0AVF1-2	A0AVF1	A0AVF1-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	3	2		A0AVF1-2	VSP_043751	variant_vsp	FALSE	Name=2; IsoId=A0AVF1-2; Sequence=VSP_043751;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVF1|A0AVF1-3	A0AVF1	A0AVF1-3	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	3	3		A0AVF1-3	VSP_044791	variant_vsp	FALSE	Name=3; IsoId=A0AVF1-3; Sequence=VSP_044791;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVI2|A0AVI2-1	A0AVI2	A0AVI2-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	3	1		A0AVI2-1	Displayed	displayed	TRUE	Name=1; IsoId=A0AVI2-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVI2|A0AVI2-2	A0AVI2	A0AVI2-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	3	2		A0AVI2-2	VSP_031852	variant_vsp	FALSE	Name=2; IsoId=A0AVI2-2; Sequence=VSP_031852;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVI2|A0AVI2-4	A0AVI2	A0AVI2-4	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	3	3		A0AVI2-4	VSP_031852, VSP_059071	variant_vsp	FALSE	Name=3; IsoId=A0AVI2-4; Sequence=VSP_031852, VSP_059071;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVI4|A0AVI4-1	A0AVI4	A0AVI4-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	2	1		A0AVI4-1	Displayed	displayed	TRUE	Name=1; IsoId=A0AVI4-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVI4|A0AVI4-2	A0AVI4	A0AVI4-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	2	2		A0AVI4-2	VSP_036641, VSP_036642	variant_vsp	FALSE	Name=2; IsoId=A0AVI4-2; Sequence=VSP_036641, VSP_036642;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVT1|A0AVT1-1	A0AVT1	A0AVT1-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	4	1		A0AVT1-1	Displayed	displayed	TRUE	Name=1; IsoId=A0AVT1-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVT1|A0AVT1-2	A0AVT1	A0AVT1-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	4	2	nUBE1L	A0AVT1-2	VSP_023083	variant_vsp	FALSE	Name=2; Synonyms=nUBE1L; IsoId=A0AVT1-2; Sequence=VSP_023083;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVT1|A0AVT1-3	A0AVT1	A0AVT1-3	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	4	3		A0AVT1-3	VSP_023086, VSP_023087	variant_vsp	FALSE	Name=3; IsoId=A0AVT1-3; Sequence=VSP_023086, VSP_023087;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0AVT1|A0AVT1-4	A0AVT1	A0AVT1-4	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	4	4		A0AVT1-4	VSP_023084, VSP_023085	variant_vsp	FALSE	Name=4; IsoId=A0AVT1-4; Sequence=VSP_023084, VSP_023085;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0FGR8|A0FGR8-1	A0FGR8	A0FGR8-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	5	1		A0FGR8-1	Displayed	displayed	TRUE	Name=1; IsoId=A0FGR8-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0FGR8|A0FGR8-2	A0FGR8	A0FGR8-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	5	2		A0FGR8-2	VSP_023239	variant_vsp	FALSE	Name=2; IsoId=A0FGR8-2; Sequence=VSP_023239;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0FGR8|A0FGR8-4	A0FGR8	A0FGR8-4	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	5	4		A0FGR8-4	VSP_023238, VSP_023241, VSP_023242	variant_vsp	FALSE	Name=4; IsoId=A0FGR8-4; Sequence=VSP_023238, VSP_023241, VSP_023242;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0FGR8|A0FGR8-5	A0FGR8	A0FGR8-5	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	5	5		A0FGR8-5	VSP_023236, VSP_023240	variant_vsp	FALSE	Name=5; IsoId=A0FGR8-5; Sequence=VSP_023236, VSP_023240;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0FGR8|A0FGR8-6	A0FGR8	A0FGR8-6	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	5	6		A0FGR8-6	VSP_038324	variant_vsp	FALSE	Name=6; IsoId=A0FGR8-6; Sequence=VSP_038324;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0FGR9|A0FGR9-1	A0FGR9	A0FGR9-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	2	1		A0FGR9-1	Displayed	displayed	TRUE	Name=1; IsoId=A0FGR9-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0FGR9|A0FGR9-2	A0FGR9	A0FGR9-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	2	2		A0FGR9-2	VSP_030424, VSP_030425	variant_vsp	FALSE	Name=2; IsoId=A0FGR9-2; Sequence=VSP_030424, VSP_030425;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0JLT2|A0JLT2-1	A0JLT2	A0JLT2-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	2	1		A0JLT2-1	Displayed	displayed	TRUE	Name=1; IsoId=A0JLT2-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0JLT2|A0JLT2-2	A0JLT2	A0JLT2-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	2	2		A0JLT2-2	VSP_028121, VSP_028122	variant_vsp	FALSE	Name=2; IsoId=A0JLT2-2; Sequence=VSP_028121, VSP_028122;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0JNW5|A0JNW5-1	A0JNW5	A0JNW5-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	2	1		A0JNW5-1	Displayed	displayed	TRUE	Name=1; IsoId=A0JNW5-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0JNW5|A0JNW5-2	A0JNW5	A0JNW5-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	2	2		A0JNW5-2	VSP_027014, VSP_027015	variant_vsp	FALSE	Name=2; IsoId=A0JNW5-2; Sequence=VSP_027014, VSP_027015;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0JP26|A0JP26-1	A0JP26	A0JP26-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	3	1		A0JP26-1	Displayed	displayed	TRUE	Name=1; IsoId=A0JP26-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0JP26|A0JP26-2	A0JP26	A0JP26-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	3	2		A0JP26-2	VSP_059381, VSP_059382	variant_vsp	FALSE	Name=2; IsoId=A0JP26-2; Sequence=VSP_059381, VSP_059382;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0JP26|A0JP26-3	A0JP26	A0JP26-3	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	3	3		A0JP26-3	VSP_059380	variant_vsp	FALSE	Name=3; IsoId=A0JP26-3; Sequence=VSP_059380;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0MZ66|A0MZ66-1	A0MZ66	A0MZ66-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	8	1		A0MZ66-1	Displayed	displayed	TRUE	Name=1; IsoId=A0MZ66-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0MZ66|A0MZ66-2	A0MZ66	A0MZ66-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	8	2		A0MZ66-2	VSP_027050, VSP_027051	variant_vsp	FALSE	Name=2; IsoId=A0MZ66-2; Sequence=VSP_027050, VSP_027051;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
